,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1023,"[-1, -14, 10, 9, -16, -8, 19, -3, -3, -13, -10, -17, -2]","[-3, -17, -8, -16, 19, -13, -3, -14, 10, 9, -1, -10, -2]","[1, -12, 12, 11, -14, -6, 21, -1, -1, -11, -8, -15, 0]","[-2, -28, 20, 18, -32, -16, 38, -6, -6, -26, -20, -34, -4]","[-1.0, -0.07142857142857142, 0.1, 0.1111111111111111, -0.0625, -0.125, 0.05263157894736842, -0.3333333333333333, -0.3333333333333333, -0.07692307692307693, -0.1, -0.058823529411764705, -0.5]","[-1, -14, 2, 10, 9, -16, -8, 19, -3, -3, -13, -10, -17, -2]","[-1, -14, 10, 9, -16, -8, 19, -3, -3, -13, -10, -2]",-49,-49,-23,-98,-2.3975991543716004,-47,-32,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1024,"[4, 13, 11, -17, 4, 16, 2, 9, 23, 23, -4, 2, 12]","[23, 2, 12, 11, 4, -17, 2, 4, -4, 16, 13, 23, 9]","[6, 15, 13, -15, 6, 18, 4, 11, 25, 25, -2, 4, 14]","[8, 26, 22, -34, 8, 32, 4, 18, 46, 46, -8, 4, 24]","[0.25, 0.07692307692307693, 0.09090909090909091, -0.058823529411764705, 0.25, 0.0625, 0.5, 0.1111111111111111, 0.043478260869565216, 0.043478260869565216, -0.25, 0.5, 0.08333333333333333]","[4, 13, 11, -17, 4, 2, 16, 2, 9, 23, 23, -4, 2, 12]","[4, 13, 11, -17, 4, 2, 9, 23, 23, -4, 2, 12]",98,98,124,196,1.7029096046039778,100,82,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1025,"[2, 5, -5, -2, -9, -8, 7, -9, 13]","[7, -2, -9, -9, 5, -5, 2, -8, 13]","[4, 7, -3, 0, -7, -6, 9, -7, 15]","[4, 10, -10, -4, -18, -16, 14, -18, 26]","[0.5, 0.2, -0.2, -0.5, -0.1111111111111111, -0.125, 0.14285714285714285, -0.1111111111111111, 0.07692307692307693]","[2, 5, -5, -2, -9, -8, 7, -9, 2, 13]","[2, 5, -5, -9, -8, 7, -9, 13]",-6,-6,12,-12,-0.1274420024420025,-4,-4,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1026,"[1, 20, -3, 13, 17, -20, 20, -16, -14]","[-16, -14, 17, -3, 20, -20, 13, 1, 20]","[3, 22, -1, 15, 19, -18, 22, -14, -12]","[2, 40, -6, 26, 34, -40, 40, -32, -28]","[1.0, 0.05, -0.3333333333333333, 0.07692307692307693, 0.058823529411764705, -0.05, 0.05, -0.0625, -0.07142857142857142]","[1, 20, -3, 13, 17, 2, -20, 20, -16, -14]","[1, 20, -3, 13, 17, 20, -16, -14]",18,18,36,36,0.718484701572937,20,38,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1027,"[14, 2, -5, -7, 14, -16, 10, 23, 14, -15, -21]","[-15, -5, 14, 10, 23, -7, -21, 14, 14, -16, 2]","[16, 4, -3, -5, 16, -14, 12, 25, 16, -13, -19]","[28, 4, -10, -14, 28, -32, 20, 46, 28, -30, -42]","[0.07142857142857142, 0.5, -0.2, -0.14285714285714285, 0.07142857142857142, -0.0625, 0.1, 0.043478260869565216, 0.07142857142857142, -0.06666666666666667, -0.047619047619047616]","[14, 2, -5, -7, 14, -16, 2, 10, 23, 14, -15, -21]","[14, 2, -5, 14, -16, 10, 23, 14, -15, -21]",13,13,35,26,0.33812111801242223,15,20,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1028,"[16, -8, 19, -10, -3, 20, -21]","[-21, -8, -10, 19, -3, 16, 20]","[18, -6, 21, -8, -1, 22, -19]","[32, -16, 38, -20, -6, 40, -42]","[0.0625, -0.125, 0.05263157894736842, -0.1, -0.3333333333333333, 0.05, -0.047619047619047616]","[16, -8, 19, -10, 2, -3, 20, -21]","[16, -8, 19, -3, 20, -21]",13,13,27,26,-0.4408208020050125,15,23,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1029,"[10, -4, 4, -6, -11, 5, 6, 13, -10]","[5, -10, 4, -6, -4, 10, 6, 13, -11]","[12, -2, 6, -4, -9, 7, 8, 15, -8]","[20, -8, 8, -12, -22, 10, 12, 26, -20]","[0.1, -0.25, 0.25, -0.16666666666666666, -0.09090909090909091, 0.2, 0.16666666666666666, 0.07692307692307693, -0.1]","[10, -4, 4, -6, -11, 5, 6, 13, -10, 2]","[10, 4, -6, -11, 5, 6, 13, -10]",7,7,25,14,0.18601398601398603,9,11,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1030,"[6, -1, 4, -1, -9, 9, -10, -15, -4, -5, 8, 4, -13, -13]","[-5, 6, -15, 8, 9, -1, 4, -4, -10, -13, -9, 4, -13, -1]","[8, 1, 6, 1, -7, 11, -8, -13, -2, -3, 10, 6, -11, -11]","[12, -2, 8, -2, -18, 18, -20, -30, -8, -10, 16, 8, -26, -26]","[0.16666666666666666, -1.0, 0.25, -1.0, -0.1111111111111111, 0.1111111111111111, -0.1, -0.06666666666666667, -0.25, -0.2, 0.125, 0.25, -0.07692307692307693, -0.07692307692307693]","[6, -1, 4, -1, -9, 9, -10, -15, -4, -5, 8, 4, 2, -13, -13]","[6, -1, -1, -9, 9, -10, -15, -4, -5, 8, 4, -13, -13]",-40,-40,-12,-80,-1.978846153846154,-38,-44,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1031,"[4, -6, -1, 4, -13, 9, -8, 7, -7]","[7, -13, 9, -6, -7, 4, -1, 4, -8]","[6, -4, 1, 6, -11, 11, -6, 9, -5]","[8, -12, -2, 8, -26, 18, -16, 14, -14]","[0.25, -0.16666666666666666, -1.0, 0.25, -0.07692307692307693, 0.1111111111111111, -0.125, 0.14285714285714285, -0.14285714285714285]","[4, 2, -6, -1, 4, -13, 9, -8, 7, -7]","[-6, -1, 4, -13, 9, -8, 7, -7]",-11,-11,7,-22,-0.7574786324786325,-9,-15,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1032,"[10, -23, 8, -5, -11, -3, -3, 14, -14, 10, 7, -14, 16, -16]","[-11, -14, -3, 8, 14, 7, -23, -14, -3, 10, 16, -5, 10, -16]","[12, -21, 10, -3, -9, -1, -1, 16, -12, 12, 9, -12, 18, -14]","[20, -46, 16, -10, -22, -6, -6, 28, -28, 20, 14, -28, 32, -32]","[0.1, -0.043478260869565216, 0.125, -0.2, -0.09090909090909091, -0.3333333333333333, -0.3333333333333333, 0.07142857142857142, -0.07142857142857142, 0.1, 0.14285714285714285, -0.07142857142857142, 0.0625, -0.0625]","[10, -23, 8, -5, -11, -3, -3, 14, -14, 10, 7, -14, 16, 2, -16]","[10, -23, 8, -5, -11, -3, -3, 14, -14, 10, -14, 16, -16]",-24,-24,4,-48,-0.6046254470167514,-22,-31,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
