,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1618,"[-17, -13, -11, 5, 13]","[-17, -13, -11, 5, 13]","[-15, -11, -9, 7, 15]","[-34, -26, -22, 10, 26]","[-0.09090909090909091, -0.07692307692307693, -0.058823529411764705, 0.07692307692307693, 0.2]","[-17, -13, -11, 2, 5, 13]","[-17, -13, -11, 5]",-11,-11,-9,-22,-0.058823529411764705,-4.5,-12.0,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1619,"[-18, 15]","[-18, 15]","[-16, 17]","[-36, 30]","[-0.05555555555555555, 0.06666666666666667]","[-18, 2, 15]",[15],-1.5,-1.5,0.5,-3.0,0.005555555555555557,2.0,15,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1620,"[-17, -15, -9, -2, 0, 2, 4, 5, 9, 12, 13]","[-17, -15, -9, -2, 0, 2, 4, 5, 9, 12, 13]","[-15, -13, -7, 0, 2, 4, 6, 7, 11, 14, 15]","[-34, -30, -18, -4, 0, 4, 8, 10, 18, 24, 26]","['ZeroDivisionError', -0.058823529411764705, -0.5, 0.1111111111111111, -0.06666666666666667, 0.07692307692307693, 0.25, 0.5, 0.08333333333333333, 0.2, -0.1111111111111111]","[-17, -15, -9, -2, 0, 2, 2, 4, 5, 9, 12, 13]","[-17, -9, -2, 0, 2, 4, 5, 9, 12, 13]",2,2,4,4,error,2.0,3.0,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
1621,"[-33, -23, -18, -16, -15, -13, -11, -4, 5, 8, 18, 26, 28, 31]","[-33, -23, -18, -16, -15, -13, -11, -4, 5, 8, 18, 26, 28, 31]","[-31, -21, -16, -14, -13, -11, -9, -2, 7, 10, 20, 28, 30, 33]","[-66, -46, -36, -32, -30, -26, -22, -8, 10, 16, 36, 52, 56, 62]","[-0.25, -0.09090909090909091, -0.07692307692307693, -0.06666666666666667, -0.0625, -0.05555555555555555, -0.043478260869565216, -0.030303030303030304, 0.03225806451612903, 0.03571428571428571, 0.038461538461538464, 0.05555555555555555, 0.125, 0.2]","[-33, -23, -18, -16, -15, -13, -11, -4, 2, 5, 8, 18, 26, 28, 31]","[-33, -23, -18, -16, -15, -13, -11, -4, 5, 8, 26, 28, 31]",-7.5,-7.5,-5.5,-15.0,-0.03689064558629776,-4.0,-11,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1622,"[-27, -19, -17, -15, -14, -12, -5, -5, -3, -1, 8, 8, 18]","[-27, -19, -17, -15, -14, -12, -5, -5, -3, -1, 8, 8, 18]","[-25, -17, -15, -13, -12, -10, -3, -3, -1, 1, 10, 10, 20]","[-54, -38, -34, -30, -28, -24, -10, -10, -6, -2, 16, 16, 36]","[-1.0, -0.3333333333333333, -0.2, -0.2, -0.08333333333333333, -0.07142857142857142, -0.06666666666666667, -0.058823529411764705, -0.05263157894736842, -0.037037037037037035, 0.05555555555555555, 0.125, 0.125]","[-27, -19, -17, -15, -14, -12, -5, -5, -3, -1, 2, 8, 8, 18]","[-27, -19, -17, -15, -14, -12, -5, -5, -3, -1, 8, 18]",-5,-5,-3,-10,-0.06666666666666667,-5.0,-8.5,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1623,"[-19, -10, -9, -9, 0, 1, 2, 6, 13, 24]","[-19, -10, -9, -9, 0, 1, 2, 6, 13, 24]","[-17, -8, -7, -7, 2, 3, 4, 8, 15, 26]","[-38, -20, -18, -18, 0, 2, 4, 12, 26, 48]","[0.16666666666666666, -0.1111111111111111, 'ZeroDivisionError', -0.1111111111111111, -0.1, 0.5, 1.0, -0.05263157894736842, 0.07692307692307693, 0.041666666666666664]","[-19, -10, -9, -9, 0, 1, 2, 2, 6, 13, 24]","[-19, -10, -9, -9, 0, 1, 2, 6, 13]",0.5,0.5,2.5,1.0,error,1.0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
1624,[11],[11],[13],[22],[0.09090909090909091],"[2, 11]",[],11,11,13,22,0.09090909090909091,6.5,error,No-violate,No-violate,No-violate,Violate,error,0,0,0,1,error
1625,"[-10, 12]","[-10, 12]","[-8, 14]","[-20, 24]","[-0.1, 0.08333333333333333]","[-10, 2, 12]",[-10],1.0,1.0,3.0,2.0,-0.008333333333333338,2.0,-10,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1626,"[-25, -25, 3, 5, 8, 8, 11, 14, 17, 21, 27]","[-25, -25, 3, 5, 8, 8, 11, 14, 17, 21, 27]","[-23, -23, 5, 7, 10, 10, 13, 16, 19, 23, 29]","[-50, -50, 6, 10, 16, 16, 22, 28, 34, 42, 54]","[-0.04, -0.04, 0.037037037037037035, 0.047619047619047616, 0.058823529411764705, 0.07142857142857142, 0.09090909090909091, 0.125, 0.125, 0.2, 0.3333333333333333]","[-25, -25, 2, 3, 5, 8, 8, 11, 14, 17, 21, 27]","[-25, -25, 3, 5, 8, 8, 11, 17, 21, 27]",8,8,10,16,0.07142857142857142,8.0,8.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1627,"[-16, -15, -10, -2]","[-16, -15, -10, -2]","[-14, -13, -8, 0]","[-32, -30, -20, -4]","[-0.5, -0.1, -0.06666666666666667, -0.0625]","[-16, -15, -10, -2, 2]","[-16, -15, -10]",-12.5,-12.5,-10.5,-25.0,-0.08333333333333334,-10.0,-15,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
